delete,rewrite,text,type,options,tag,auto_label,suggested_options,simulated_answers,grade
,,What is the most annoying sound?,multiple_choice,Nails on a chalkboard|Mosquito buzzing|Baby crying,,MC (suggested),Nails on a chalkboard|Mosquito buzzing|Baby crying,Nails on a chalkboard | Mosquito buzzing | Baby crying | Nails on a chalkboard | Alarm clock | Nails on a chalkboard | Mosquito buzzing,B
,,What is the best ice cream flavor?,multiple_choice,Vanilla|Chocolate|Strawberry|Cookies And Cream|Mint Chocolate Chip,,Open (no data),,,
x,,What is the best pizza topping?,multiple_choice,Pepperoni|Cheese|Sausage,,MC (suggested),Pepperoni|Cheese|Sausage,Pepperoni | Pepperoni | Cheese | Pepperoni | Sausage | Pepperoni | Mushrooms,B
,,What is the best breakfast food?,multiple_choice,Bacon|Pancakes|Eggs,,MC (suggested),Bacon|Pancakes|Eggs,Bacon | Pancakes | Eggs | Bacon | Pancakes | Bacon | French Toast,B
,,"If you won the lottery, what would you buy first?",open,,,SKIP (auto),,A new house | Pay off debt | A new house | A new house | Travel the world | A new house | A new house,A
x,,What is the best dessert?,open,,,Open (no data),,,C
x,,What is everyone's favorite comfort food?,open,,,SKIP (auto),,Mac and Cheese | Mac and Cheese | Pizza | Mac and Cheese | Mac and Cheese | Mac and Cheese | Ice Cream,A
,,Name a Disney movie everyone has seen,multiple_choice,The Lion King|Frozen|Toy Story|Aladdin|Finding Nemo,,MC (suggested),The Lion King|Frozen|Toy Story,The Lion King | Frozen | The Lion King | Toy Story | The Lion King | Frozen | Beauty and the Beast,B
x,,What is the best sandwich?,open,,,Open (no data),,,
,,What is the most annoying household chore?,multiple_choice,Cleaning the bathroom|Doing dishes|Laundry,,MC (suggested),Cleaning the bathroom|Doing dishes|Laundry,Cleaning the bathroom | Doing dishes | Laundry | Cleaning the bathroom | Doing dishes | Cleaning the bathroom | Vacuuming,B
,,"If you could eat one food forever, what would it be?",open,,,Open (no data),,,
,,Name a superhero everyone knows,open,,,SKIP (auto),,Spider-Man | Batman | Spider-Man | Superman | Spider-Man | Spider-Man | Wonder Woman,B
x,,What is everyone's go-to karaoke song?,multiple_choice,Don't Stop Believin'|Sweet Caroline|Livin' on a Prayer,,MC (suggested),Don't Stop Believin'|Sweet Caroline|Livin' on a Prayer,Don't Stop Believin' | Sweet Caroline | Don't Stop Believin' | Livin' on a Prayer | Don't Stop Believin' | Don't Stop Believin' | Bohemian Rhapsody,B
,,What is the best Thanksgiving side dish?,multiple_choice,Mashed Potatoes|Stuffing|Green Bean Casserole,,MC-ternary (strong),Mashed Potatoes|Stuffing|Green Bean Casserole,Mashed Potatoes | Stuffing | Mashed Potatoes | Green Bean Casserole | Mashed Potatoes | Stuffing | Mashed Potatoes,B
,,What is the best Halloween candy?,open,,,SKIP (auto),,Reese's Peanut Butter Cups | Snickers | Reese's | Kit Kat | Reese's Peanut Butter Cups | Reese's | M&M's,B
,,What is the most important invention ever?,open,,,SKIP (auto),,The Wheel | Electricity | The Printing Press | Electricity | The Internet | Electricity | The Wheel,B
,,What is the best thing about dogs?,multiple_choice,Loyalty | Companionship | Nothing. Dogs are overrated,,SKIP (auto),,Loyalty | Unconditional love | Companionship | Loyalty | Always happy to see you | Loyalty | Loyalty,B
x,,What is the best thing about cats?,open,,,SKIP (auto),,Their independence | Purring | They're cuddly | Their purrs | Their independence | They're low maintenance | Their independence,B
x,,What is the best emoji?,open,,,SKIP (auto),,😂 | 😂 | ❤️ | 👍 | 😂 | 😂 | ❤️,B
